"","ID","Titol_cat","Enllac","Nom_BBDD","CONTENTS","CONTENTS.ca.","CREATION.DATE","DATA","DECIMALS","DESCRIPTION","DESCRIPTION.ca.","ELIMINATION","ELIMINATION.ca.","HEADING","HEADING.ca.","INFO","INFO.ca.","LAST.UPDATED","LAST.UPDATED.ca.","MATRIX","NOTE","NOTE.ca.","REFPERIOD","REFPERIOD.ca.","SHOWDECIMALS","SOURCE","SOURCE.ca.","STUB","STUB.ca.","SUBJECT.AREA","SUBJECT.AREA.ca.","SUBJECT.CODE","SURVEY","SURVEY.ca.","TITLE","TITLE.ca.","UNITS","UNITS.ca.","UPDATE.FREQUENCY","VALUES","VALUES.ca.","SUBJECT.AREA.1","SUBJECT.AREA.2","SUBJECT.AREA.ca.1","SUBJECT.AREA.ca.2","SUBJECT.CODE.1","SUBJECT.CODE.2","REFPERIOD.start.","REFPERIOD.end."
"1","ID_4725",NA,"https://ibestat.caib.es/ibestat/service/ibestat/pxcontent/ab877679-5a13-404c-b031-38ceed678c6f/matr_132c09.px","matr_132c09","Matrimonios entre cónyuges de distinto sexo y futura residencia en Illes Balears","Matrimonis entre cònjuges de diferent sexe i futura residència a Illes Balears","20090601 00:00",NA,"0","Matrimonios entre cónyuges de distinto sexo por comarca de residencia (NUTS 4) y la relación entre la zona de nacimiento de ambos contrayentes.","Matrimonis entre cònjuges de diferent sexe per comarca de residència (NUTS 4) i la relació entre la zona de naixement d'ambdós contraents.","ILLES BALEARS","ILLES BALEARS","Zona.de.nacimiento","Zona de naixença","Matrimonios 2009","Matrimonis 2009","20110207 10:46","20110207 10:46","matr_132c09","NUTS:Nomenclatura de las Unidades Territoriales Estadísticas utilizadas por la Unión Europea con fines estadísticos.","NUTS: Nomenclatura de les Unitats Territorials Estadístiques utilitzades per la Unió Europea amb finalitats estadístiques.","Matrimonios 2009","Matrimonis 2009","0","Institut d'Estadística de les Illes Balears (IBESTAT). España (CC BY 3.0)","Institut d'Estadística de les Illes Balears (IBESTAT). Espanya (CC BY 3.0)","Comarca..NUTS.4.","Comarca (NUTS 4)","Población > Matrimonios","Població > Matrimonis","2.25","Matrimonios","Matrimonis","Matrimonios entre cónyuges de distinto sexo por comarca de residencia (NUTS 4) y la relación entre la zona de nacimiento de ambos contrayentes.","Matrimonis entre cònjuges de diferent sexe per comarca de residència (NUTS 4) i la relació entre la zona de naixement d'ambdós contraents.","Matrimonios entre cónyuges de distinto sexo","Matrimonis entre cònjuges de diferent sexe","A",NA,"ILLES BALEARS, 01 Pla (Mallorca), 02 Raiguer (Mallorca), 03 Nord (Mallorca), 04 Tramuntana (Mallorca), 05 Sud (Mallorca), 06 Llevant (Mallorca), 07 Badia de Palma (Mallorca), 08 Menorca (Menorca), 09 Eivissa (Eivissa), 10 Formentera (Formentera)","Población","Matrimonios","Població","Matrimonis","2","25",2009,NA
"2","ID_6351",NA,"https://ibestat.caib.es/ibestat/service/ibestat/pxcontent/5876f3a6-8fd3-4769-8337-6e950acba99c/nac_t006d16.px","nac_t006d16","Nacidos vivos de madres residentes en Palma","Nascuts vius de mares residents a Palma","20180105 09:00",NA,"0","Nacidos vivos por distrito y zona estadística de residencia materna en Palma y la relación entre la zona de nacimiento del padre y de la madre.","Nascuts vius per districte i zona estadística de residència materna a Palma, i relació entre la zona de naixement del pare i de la mare.","PALMA","PALMA","Zona.de.nacimiento.del.padre.y.de.la.madre","Zona de naixement del pare i de la mare","Nacimientos 2016","Naixements 2016","20180111 09:00","20180111 09:00","nac_t006d16","No clasificable: el lugar de nacimiento del padre o de la madre no consta","No classificable: el lloc de naixement del pare o de la mare no consta","2016","2016","0","Institut d'Estadística de les Illes Balears (IBESTAT). España (CC BY 3.0)","Institut d'Estadística de les Illes Balears (IBESTAT). Espanya (CC BY 3.0)","Distrito.y.zona.estadística.de.residencia","Districte i zona estadística de residència","Población > Nacimientos","Població > Naixements","2.15","Nacimientos","Naixements","Nacidos vivos por distrito y zona estadística de residencia materna en Palma y la relación entre la zona de nacimiento del padre y de la madre.","Nascuts vius per districte i zona estadística de residència materna a Palma, i relació entre la zona de naixement del pare i de la mare.","Número de nacidos vivos","Nombre de nascuts vius","No se actualiza",NA,"Total, Els dos nascuts a les Illes Balears, Els dos nascuts en una altra CA, Els dos nascuts a l'estranger, Mare nascuda en Illes Balears i pare altra CA, Mare nascuda en altra CA i pare en Illes Balears, Mare nascuda a les Balears i pare a l'estranger, Mare nascuda en l'estranger i pare en Illes Balears, Mare nascuda en una altra CA i pare a l'estranger, Mare nascuda a l'estranger i pare en una altra CA, No classificable","Población","Nacimientos","Població","Naixements","2","15",2016,NA
"3","ID_20416",NA,"https://ibestat.caib.es/ibestat/service/ibestat/pxcontent/29469200-4e75-4e2c-a324-1ae1795481c7/U302002_1004.px","U302002_1004","Contratos registrados","Contractes registrats","20130825 09:00",NA,"0","Contratos registrados por periodo, isla, sexo y duración del contrato.","Contractes registrats per període, illa, sexe i durada del contracte.","TOTAL","TOTAL",NA,"Illa, Sexe","Contratos registrados","Contractes registrats","20230201 11:44","20230201 11:44","U302002_1004","1. La agrupación de niveles de formación es en función de la CNED-2000.#2. (....) Dato oculto por secreto estadístico.","1. L'agrupació de nivells de formació és en funció de la CNED-2000.#2. (....) Dada oculta per secret estadístic.","De 2005M05 a 2023M01","De 2005M05 a 2023M01","0","Institut d'Estadística de les Illes Balears (IBESTAT) a partir de datos del Servei d'Ocupació de les Illes Balears (SOIB). España (CC BY 3.0)","Institut d'Estadística de les Illes Balears (IBESTAT) a partir de dades del Servei d'Ocupació de les Illes Balears (SOIB). Espanya (CC BY 3.0)",NA,"Període, Durada del contracte","Economía > Trabajo","Economia > Treball","3.35","Contratos registrados del SOIB","Contractes registrats en el Soib","Contratos registrados por periodo, isla, sexo y duración del contrato.","Contractes registrats per període, illa, sexe i durada del contracte.","Número de contratos","Nombre de contractes","M",NA,"2023M01, 2022M12, 2022M11, 2022M10, 2022M09, 2022M08, 2022M07, 2022M06, 2022M05, 2022M04, 2022M03, 2022M02, 2022M01, 2021M12, 2021M11, 2021M10, 2021M09, 2021M08, 2021M07, 2021M06, 2021M05, 2021M04, 2021M03, 2021M02, 2021M01, 2020M12, 2020M11, 2020M10, 2020M09, 2020M08, 2020M07, 2020M06, 2020M05, 2020M04, 2020M03, 2020M02, 2020M01, 2019M12, 2019M11, 2019M10, 2019M09, 2019M08, 2019M07, 2019M06, 2019M05, 2019M04, 2019M03, 2019M02, 2019M01, 2018M12, 2018M11, 2018M10, 2018M09, 2018M08, 2018M07, 2018M06, 2018M05, 2018M04, 2018M03, 2018M02, 2018M01, 2017M12, 2017M11, 2017M10, 2017M09, 2017M08, 2017M07, 2017M06, 2017M05, 2017M04, 2017M03, 2017M02, 2017M01, 2016M12, 2016M11, 2016M10, 2016M09, 2016M08, 2016M07, 2016M06, 2016M05, 2016M04, 2016M03, 2016M02, 2016M01, 2015M12, 2015M11, 2015M10, 2015M09, 2015M08, 2015M07, 2015M06, 2015M05, 2015M04, 2015M03, 2015M02, 2015M01, 2014M12, 2014M11, 2014M10, 2014M09, 2014M08, 2014M07, 2014M06, 2014M05, 2014M04, 2014M03, 2014M02, 2014M01, 2013M12, 2013M11, 2013M10, 2013M09, 2013M08, 2013M07, 2013M06, 2013M05, 2013M04, 2013M03, 2013M02, 2013M01, 2012M12, 2012M11, 2012M10, 2012M09, 2012M08, 2012M07, 2012M06, 2012M05, 2012M04, 2012M03, 2012M02, 2012M01, 2011M12, 2011M11, 2011M10, 2011M09, 2011M08, 2011M07, 2011M06, 2011M05, 2011M04, 2011M03, 2011M02, 2011M01, 2010M12, 2010M11, 2010M10, 2010M09, 2010M08, 2010M07, 2010M06, 2010M05, 2010M04, 2010M03, 2010M02, 2010M01, 2009M12, 2009M11, 2009M10, 2009M09, 2009M08, 2009M07, 2009M06, 2009M05, 2009M04, 2009M03, 2009M02, 2009M01, 2008M12, 2008M11, 2008M10, 2008M09, 2008M08, 2008M07, 2008M06, 2008M05, 2008M04, 2008M03, 2008M02, 2008M01, 2007M12, 2007M11, 2007M10, 2007M09, 2007M08, 2007M07, 2007M06, 2007M05, 2007M04, 2007M03, 2007M02, 2007M01, 2006M12, 2006M11, 2006M10, 2006M09, 2006M08, 2006M07, 2006M06, 2006M05, 2006M04, 2006M03, 2006M02, 2006M01, 2005M12, 2005M11, 2005M10, 2005M09, 2005M08, 2005M07, 2005M06, 2005M05","Economía","Trabajo","Economia","Treball","3","35",2005,2023
"4","ID_14056",NA,"https://ibestat.caib.es/ibestat/service/ibestat/pxcontent/74d356f8-4543-4e2b-b94f-33258b52fd96/I101004_1164.px","I101004_1164","Población residente censada en las Illes Balears","Població resident censada a les Illes Balears","20120318 00:00",NA,"0","Población por comarca de residencia, sexo y gran grupo de edad.","Població per comarca de residència, sexe i gran grup d'edat.","ILLES BALEARS","ILLES BALEARS","Gran.grupo.de.edad","Gran grup d'edat","Censo 2011","Cens 2011","20131003 12:34","20131003 12:34","I101004_1164",NA,NA,"2011","2011","0","Institut d'Estadística de les Illes Balears (IBESTAT) a partir de datos del INE. España (CC BY 3.0)","Institut d'Estadística de les Illes Balears (Ibestat) a partir de dades de l'INE. Espanya (CC BY 3.0)",NA,"Comarca (NUTS 4), Sexe","Población > Censos de población","Població > Censos de població","2.07","Censo","Cens","Población por comarca de residencia, sexo y gran grupo de edad.","Població per comarca de residència, sexe i gran grup d'edat.","Personas","Persones","No se actualiza",NA,"ILLES BALEARS, 01 Pla (Mallorca), 02 Raiguer (Mallorca), 03 Nord (Mallorca), 04 Tramuntana (Mallorca), 05 Sud (Mallorca), 06 Llevant (Mallorca), 07 Badia de Palma (Mallorca), 08 Menorca (Menorca), 09 Eivissa (Eivissa), 10 Formentera (Formentera)","Población","Censos de población","Població","Censos de població","2","07",2011,NA
"5","ID_16584",NA,"https://ibestat.caib.es/ibestat/service/ibestat/pxcontent/81609649-4591-4464-b487-34dcf68ae138/I101003_0134.px","I101003_0134","Población de 6 años o más nacida en Illes Balears","Població de 6 anys o més nascuda a les Illes Balears","20100601 00:00",NA,"0","Población de 6 años o más nacida en Illes Balears por isla-municipio de residencia, sexo y conocimiento de la lengua catalana.","Població de 6 anys o més nascuda a les Illes Balears per illa-municipi de residència, sexe i coneixement de la llengua catalana","ILLES BALEARS","ILLES BALEARS","Conocimiento.de.la.lengua.catalana","Coneixement de la llengua catalana","Censos de población y viviendas 2001","Censos de població i habitatges 2001","20101119 11:46","20101119 11:46","I101003_0134",NA,NA,"01/11/2001","01/11/2001","0","Institut d'Estadística de les Illes Balears (IBESTAT) a partir de lo microdatos proporcionados por el Instituto Nacional de Estadística (INE). España (CC BY 3.0)","Institut d'Estadística dels Illes Balears (IBESTAT) a partir de les microdades proporcionades per l'Institut Nacional d'Estadística (INE). Espanya (CC BY 3.0)",NA,"Illa i municipi, Sexe","Población > Censos de población","Població > Censos de població","2.07","Censos de población y viviendas","Censos de població i habitatges","Población de 6 años o más nacida en Illes Balears por isla-municipio de residencia, sexo y conocimiento de la lengua catalana.","Població de 6 anys o més nascuda a les Illes Balears per illa-municipi de residència, sexe i coneixement de la llengua catalana","Personas residentes en viviendas familiares principales","Persones residents en habitatges familiars principals","No se actualiza",NA,"ILLES BALEARS, MALLORCA, 07001 Alaró, 07003 Alcúdia, 07004 Algaida, 07005 Andratx, 07006 Artà, 07007 Banyalbufar, 07008 Binissalem, 07009 Búger, 07010 Bunyola, 07011 Calvià, 07012 Campanet, 07013 Campos, 07014 Capdepera, 07016 Consell, 07017 Costitx, 07018 Deià, 07019 Escorca, 07020 Esporles, 07021 Estellencs, 07022 Felanitx, 07025 Fornalutx, 07027 Inca, 07028 Lloret de Vistalegre, 07029 Lloseta, 07030 Llubí, 07031 Llucmajor, 07033 Manacor, 07034 Mancor de la Vall, 07035 Maria de la Salut, 07036 Marratxí, 07038 Montuïri, 07039 Muro, 07040 Palma, 07041 Petra, 07042 Pollença, 07043 Porreres, 07044 Pobla (Sa), 07045 Puigpunyent, 07047 Sencelles, 07049 Sant Joan, 07051 Sant Llorenç des Cardassar, 07053 Santa Eugènia, 07055 Santa Margalida, 07056 Santa Maria del Camí, 07057 Santanyí, 07058 Selva, 07059 Salines (Ses), 07060 Sineu, 07061 Sóller, 07062 Son Servera, 07063 Valldemossa, 07065 Vilafranca de Bonany, 07901 Ariany, MENORCA, 07002 Alaior, 07015 Ciutadella de Menorca, 07023 Ferreries, 07032 Maó, 07037 Mercadal (Es), 07052 Sant Lluís, 07064 Castell (Es), 07902 Migjorn Gran (Es), EIVISSA, 07026 Eivissa, 07046 Sant Antoni de Portmany, 07048 Sant Josep de sa Talaia, 07050 Sant Joan de Labritja, 07054 Santa Eulària del Riu, FORMENTERA, 07024 Formentera","Población","Censos de población","Població","Censos de població","2","07",2001,NA
"6","ID_13839",NA,"https://ibestat.caib.es/ibestat/service/ibestat/pxcontent/031279a1-d260-4a21-9178-7e8056ce5df5/I101004_ed05.px","I101004_ed05","Edificios destinados principal o exclusivamente a viviendas","Edificis destinats principalment o exclusivament a habitatges","20140328 00:00",NA,"0","Edificios destinados principal o exclusivamente a viviendas por isla de localización, número de inmuebles y año de construcción.","Edificis destinats principalment o exclusivament a habitatges per illa de localització, nombre d'immobles i any de construcció","ILLES BALEARS","ILLES BALEARS","Año.de.construcción","Any de construcció","Censo 2011","Cens 2011","20140401 09:40","20140401 09:40","I101004_ed05",NA,NA,"2011","2011","0","Institut d'Estadística de les Illes Balears (IBESTAT) a partir de datos del INE. España (CC BY 3.0)","Institut d'Estadística de les Illes Balears (Ibestat) a partir de dades de l'INE. Espanya (CC BY 3.0)",NA,"Illa de localització, Nombre d'immobles","Población > Censos de población","Població > Censos de població","2.07","Censo","Cens","Edificios destinados principal o exclusivamente a viviendas por isla de localización, número de inmuebles y año de construcción.","Edificis destinats principalment o exclusivament a habitatges per illa de localització, nombre d'immobles i any de construcció","Edificios","Edificis","No se actualiza",NA,"ILLES BALEARS, Mallorca, Menorca, Eivissa, Formentera","Población","Censos de población","Població","Censos de població","2","07",2011,NA
"7","ID_4479",NA,"https://ibestat.caib.es/ibestat/service/ibestat/pxcontent/c03aed18-b228-4ae5-8207-57bb0d925367/par_t003b_10.px","par_t003b_10","Partos","Parts","20090401 00:00",NA,"0","Partos por comarca de residencia materna (NUTS 4), multiplicidad y maturidad del parto y edad de la madre.","Parts per comarca de residència materna (NUTS 4), multiplicitat i maduresa del part i edat de la mare.","ILLES BALEARS","ILLES BALEARS","Edad.de.la.madre","Edat de la mare","Partos 2010","Parts 2010","20120127 09:02","20120127 09:02","par_t003b_10",NA,NA,"Partos 2010","Parts 2010","0","Institut d'Estadística de les Illes Balears (IBESTAT). España (CC BY 3.0)","Institut d'Estadística de les Illes Balears (IBESTAT). Espanya (CC BY 3.0)",NA,"Comarca de residència (NUTS 4), Multiplicitat, Maduresa","Población > Partos","Població > Parts","2.2","Partos","Parts","Partos por comarca de residencia materna (NUTS 4), multiplicidad y maturidad del parto y edad de la madre.","Parts per comarca de residència materna (NUTS 4), multiplicitat i maduresa del part i edat de la mare.","Número de partos","Nombre de parts","A",NA,"ILLES BALEARS, 01 Pla (Mallorca), 02 Raiguer (Mallorca), 03 Nord (Mallorca), 04 Tramuntana (Mallorca), 05 Sud (Mallorca), 06 Llevant (Mallorca), 07 Badia de Palma (Mallorca), 08 Menorca (Menorca), 09 Eivissa i Formentera (Eivissa i Formentera)","Población","Partos","Població","Parts","2","2",2010,NA
"8","ID_20341",NA,"https://ibestat.caib.es/ibestat/service/ibestat/pxcontent/a2df1eee-0ae7-425c-b7ca-b11cf5cca052/I103004_1509.px","I103004_1509","Nombres","Noms","20090316 00:00",NA,"2","Nombres más frecuentes de los recién nacidos de madres residentes en Formentera.","Noms més freqüents dels nounats de mares residents a Formentera.","FORMENTERA","FORMENTERA","Datos","Dades","Nacimientos 2009","Naixements 2009","20110217 14:46","20110217 14:46","I103004_1509","El orden de los nombres expresado entre paréntesis se refiere al obtenido con respecto al total de la Comunidad Autónoma.","L'ordre dels noms expressat entre parèntesis fa referència al total de la Comunitat Autònoma.","2009","2009","0","Institut d'Estadística de les Illes Balears (IBESTAT). España (CC BY 3.0)","Institut d'Estadística de les Illes Balears (IBESTAT). Espanya (CC BY 3.0)",NA,"Nom i núm. ordre, Municipi de residència","Población > Nombres más frecuentes","Població > Noms més freqüents","2.4","Nacimientos","Naixements","Nombres más frecuentes de los recién nacidos de madres residentes en Formentera.","Noms més freqüents dels nounats de mares residents a Formentera.","Número de nombres de los recién nacidos","Nombre de noms dels nounats",NA,NA,"ARNAU (1), ROGER (2), AARON (3), ABDELAZIZ (4), ADAM (5), ALEIX (6), ALVARO (7), ANDRES (8), AYOUB (9), BRUNO (10), BRYAN  DAVID (11), DAVID (12), DIEGO  NAHUEL (13), FELIPE  REIWALDO (14), GABRIEL (15), GIOSUE  EMANUEL (16), HAMUDI (17), HUGO (18), ISLAM (19), JAN (20), JAUME  GIACOMO (21), JIAN  KATRIEL (22), KEVIN (23), LLUIS  XOMEU (24), LUCAS (25), LUCAS  DANIEL (26), MARC (27), MARTIN (28), MAXIMO (29), NASIM (30), NEELAN (31), NICOLO (32), NONKHIN (33), PABLO  ANGEL (34), PAU (35), RAUL (36), RAYAN (37), ROBERTO  MARC (38), ROMEO (39), STEVEN (40), TRISTAN (41), UNAY (42), YENIER  LUIS (43), ZAID (44)","Población","Nombres más frecuentes","Població","Noms més freqüents","2","4",2009,NA
"9","ID_908",NA,"https://ibestat.caib.es/ibestat/service/ibestat/pxcontent/c65fc2be-cb1d-43fc-a7bc-e4c0e5ccddd9/matr_30912.px","matr_30912","Matrimonios entre mujeres con futura residencia en Illes Balears","Matrimonis entre dones amb futura residència a Illes Balears","20140107 09:00",NA,"0","Número de mujeres recién casadas por isla de residencia, grupo de edad y nivel de estudios.","Nombre de dones recent casades per illa de residència, grup d'edat i nivell d'estudis.","ILLES BALEARS","ILLES BALEARS","Nivel.de.estudios","Nivell d'estudis","Matrimonios 2012","Matrimonis 2012","20140108 15:52","20140108 15:52","matr_30912","La ley 13/2005 regula este tipo de matrimonios. Las primeras inscripciones en el registro civil se realizarón en agosto del año 2005.","La llei 13/2005 regula aquest tipus de matrimonis. Les primeres inscripcions en el registre civil es realitzaren l'agost de l'any 2005.","Matrimonios 2012","Matrimonis 2012","0","Institut d'Estadística de les Illes Balears (IBESTAT). España (CC BY 3.0)","Institut d'Estadística de les Illes Balears (IBESTAT). Espanya (CC BY 3.0)",NA,"Illa, Grup d'edat","Población > Matrimonios","Població > Matrimonis","2.25","Matrimonios","Matrimonis","Número de mujeres recién casadas por isla de residencia, grupo de edad y nivel de estudios.","Nombre de dones recent casades per illa de residència, grup d'edat i nivell d'estudis.","Número de contrayentes","Nombre de contraents","No se actualiza",NA,"ILLES BALEARS, Mallorca, Menorca, Eivissa-Formentera","Población","Matrimonios","Població","Matrimonis","2","25",2012,NA
"10","ID_1233",NA,"https://ibestat.caib.es/ibestat/service/ibestat/pxcontent/d948c9c4-894a-4bef-b08a-cea3887813a5/par_t019a_15.px","par_t019a_15","Partos","Parts","20170104 00:00",NA,"0","Partos por isla de residencia materna, lugar del parto y asistencia sanitaria.","Parts per illa de residència materna, lloc del part i assistència sanitària.","ILLES BALEARS","ILLES BALEARS","Asistencia.sanitaria","Assistència sanitària","Partos 2015","Parts 2015","20170104 13:08","20170104 13:08","par_t019a_15",NA,NA,"Partos 2015","Parts 2015","0","Institut d'Estadística de les Illes Balears (IBESTAT). España (CC BY 3.0)","Institut d'Estadística de les Illes Balears (IBESTAT). Espanya (CC BY 3.0)",NA,"Illa de residència, Lloc del part","Población > Partos","Població > Parts","2.2","Partos","Parts","Partos por isla de residencia materna, lugar del parto y asistencia sanitaria.","Parts per illa de residència materna, lloc del part i assistència sanitària.","Número de partos","Nombre de parts","No se actualiza",NA,"ILLES BALEARS, Mallorca, Menorca, Eivissa, Formentera","Población","Partos","Població","Parts","2","2",2015,NA
